complaint_text,category,subcategory,department
My employer has been delaying the variable pay component for one fiscal quarter. I work at Eastern Electronics in the textile industry.,Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
"After 10 years of service, I was denied retirement benefits. I work at Canyon Minerals in the hospitality industry. I have been working as a production manager for 6 years. I have specialized skills in my field but face exploitation.",Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
My pension payments have been delayed for the past the past 90 days. I work at Starway Hotels in the mining industry. I have been working as a carpenter for 6 years.,Social Security Concerns,Maternity benefit delays,Ministry of Women and Child Development
I was made to sign blank papers/resignation letters when joining. I work at Arctic Cold Storage in the aviation industry. This is happening in our Nashik branch/office/factory. I am a person with physical disability. Documentation of work hours is manipulated to avoid overtime payment.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
I was criticized for not matching the company's 'look policy' despite my competence. I work at Delta Logistics in the banking industry. I have been working as a data entry operator for 6 years. This is happening in our Tiruchirappalli branch/office/factory. Important opportunities are only shared with select groups.,Discrimination,Gender discrimination,National Commission for Women
I was laid off but haven't received unemployment allowance as promised. I work at RedBrick Consultancy in the entertainment industry. I have been working as a content writer for 5 years. Multiple visits to government offices haven't resolved the issue.,Social Security Concerns,Medical reimbursement delays,Employees State Insurance Corporation
I'm deliberately excluded from important meetings relevant to my work. I work at Thunder Power Generation in the agriculture industry. I have been working as a medical representative for 2 years. This is happening in our Mangalore branch/office/factory. I previously worked abroad but returned to India for family reasons. Witnesses are afraid to come forward due to fear of retaliation.,Workplace Harassment,Excessive monitoring,Ministry of Labour and Employment - Industrial Relations Division
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at Desert Oil Exploration in the telecommunications industry. I have been working as a procurement officer for 25 years. This is happening in our Pune branch/office/factory.,Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I'm constantly interrupted and talked over in meetings by male colleagues. I work at Alpine Adventures in the real estate industry. I have been working as a forklift operator for 5 years. This is happening in our Vijayawada branch/office/factory.,Workplace Harassment,Forced personal favors,Ministry of Labour and Employment - Industrial Relations Division
The office building has visible cracks and leakages creating unsafe conditions. I work at Canyon Minerals in the retail industry. I have been working as a sales executive for 1 years. This is happening in our Chandigarh branch/office/factory.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
"My employer imposed a fine of 8,400 rupees for using personal email which seems excessive and illegal. I have been working as a plumber for 6 years.",Wage Issues,PF deduction issues,Employees Provident Fund Organisation
My supervisor constantly shouts and uses abusive language towards me. I work at Savannah Agriculture in the real estate industry. I have been working as a production manager for 9 years. I am a woman working in a male-dominated field. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Hostile work environment,Ministry of Labour and Employment - Industrial Relations Division
The company doesn't provide any written contract to employees. I work at IronStrength Steel in the education industry. This is happening in our Delhi branch/office/factory.,Labor Rights Violations,Apprentice exploitation,Ministry of Labour and Employment - Industrial Relations Division
"During summer, the temperature exceeds 45°C with no cooling systems. I work at Oceanic Marine Products in the banking industry. I belong to a scheduled caste community.",Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
"Despite being eligible, I haven't received the statutory bonus for two years. I work at Tsunami Shipping in the mining industry. This is happening in our Tiruchirappalli branch/office/factory.",Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
I've been working as a contractor for 5 years but haven't been regularized. I work at Rainbow Plastics in the IT industry.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
My colleague threatened to physically harm me if I reported irregularities. I work at Tropical Beverages in the hospitality industry. I have been working as a logistics coordinator for 3 years. This is happening in our Thiruvananthapuram branch/office/factory.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
Chemical spills are common and no cleanup protocols are followed. I work at Greenfield Agro in the aviation industry. I have been working as a software developer for 6 years. This is happening in our Patna branch/office/factory.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
I have not received my salary for the last three pay cycles. My employer keeps delaying payments. I work at XYZ Technologies in the aviation industry.,Wage Issues,Unauthorized deductions,Ministry of Labour and Employment - Wage Division
"During COVID-19 lockdown, we were abandoned without any support. I work at Alpine Adventures in the textile industry. I have been working as a accountant for 1.5 years. I have been working in this industry for over a decade.",Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I was denied maternity leave and benefits after pregnancy announcement. I work at Sunrise Industries in the pharmaceutical industry. I have been working as a production manager for 6 years. The company operates through multiple shell contractors to avoid responsibility.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
My supervisor constantly shouts and uses abusive language towards me. I work at Global Solutions in the aviation industry. I have been working as a forklift operator for 2.5 years.,Workplace Harassment,Exclusion from meetings,National Commission for Backward Classes
The housing provided to us migrant workers is overcrowded and lacks basic facilities. I work at Arctic Cold Storage in the textile industry. I have been working as a security guard for 6 years.,Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Industrial Relations Division
I was asked inappropriate questions about my family planning during the interview. I work at Bluestar Chemicals in the oil and gas industry. I am from a rural background trying to establish myself in an urban job market.,Discrimination,Disability discrimination,Chief Commissioner for Persons with Disabilities
My supervisor constantly shouts and uses abusive language towards me. This is happening in our Agra branch/office/factory. I am a person with physical disability.,Workplace Harassment,Forced personal favors,Directorate General of Factory Advice Service and Labour Institutes
I'm being paid significantly less than the industry standard for my position. I work at Desert Oil Exploration in the automotive industry. This is happening in our Surat branch/office/factory. The company changed payroll policies without proper notice.,Wage Issues,Illegal fine impositions,Ministry of Labour and Employment - Wage Division
"After a workplace accident, my compensation claim has been pending for months. I work at CopperTech Engineering in the oil and gas industry. I have been working as a logistics coordinator for 1.5 years. I recently relocated to this city for this job. The company is using outdated forms and processes for benefits.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
I was mocked and excluded because I don't speak the local language fluently. I work at Thunder Power Generation in the aviation industry.,Discrimination,Language discrimination,Ministry of Labour and Employment - Industrial Relations Division
I'm being paid significantly less than the industry standard for my position. I work at Alpine Adventures in the shipping industry. I have been working as a factory worker for 20 years. This is happening in our Kochi branch/office/factory. I am the sole breadwinner in my family.,Wage Issues,Bonus payment issues,Ministry of Labour and Employment - Wage Division
I can't send money home as I don't have proper banking facilities here. I work at SilverLine Railways in the media industry. This is happening in our Jodhpur branch/office/factory.,Migrant Worker Issues,Identity verification problems,Ministry of Home Affairs
I face discrimination because I support a different political party than management. This is happening in our Dharwad branch/office/factory.,Discrimination,Regional bias,National Commission for Backward Classes
My widow pension was stopped without any prior notice or explanation. I have been working as a network administrator for 12 years.,Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
Female employees are being paid less than male employees for the same work. I work at Arctic Cold Storage in the IT industry. I have been working as a welder for 7 years. Other companies in the same area pay much better for similar work.,Wage Issues,Gratuity payment problems,Ministry of Labour and Employment - Wage Division
"After project completion, the company refused to arrange transportation back to our home state. I have been working in this industry for over a decade.",Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I was humiliated in front of clients for a minor mistake. I work at Forest Wood Products in the aviation industry. I have been working as a finance analyst for 6 years.,Workplace Harassment,Character defamation,Local Police Station
I was promised a commission of 10% but only received 10%. I work at CloudNine IT Solutions in the mining industry. I have been working as a forklift operator for 7 years. This is happening in our Ludhiana branch/office/factory.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
My widow pension was stopped without any prior notice or explanation. I have been working as a branch manager for 3 years. My UAN/account details were incorrectly entered by the employer.,Social Security Concerns,Retirement benefit disputes,Employees Provident Fund Organisation
"After informing about my pregnancy, I was removed from important projects. I have been working as a call center agent for 8 years. I have witnessed similar treatment of others from my community.",Discrimination,Sexual harassment,Internal Complaints Committee/Local Complaints Committee
Employees from certain castes are given preferential treatment in our organization. I work at Canyon Minerals in the IT industry. I have been working as a call center agent for 1 years. This is happening in our Varanasi branch/office/factory. There's a significant pay gap between different groups doing identical work.,Discrimination,Gender discrimination,National Commission for Women
Managers check our bags and personal belongings without consent everyday. I work at SilverLine Railways in the pharmaceutical industry. I have been working as a social media manager for 4.5 years. This is happening in our Shimla branch/office/factory. I am a fresh graduate in my first job. The harassment has caused me significant mental distress.,Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
I was fired without any notice or explanation after working for 7 years. I am a fresh graduate in my first job. We are made to sign blank documents that are later misused.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
"After my marriage, I was denied field assignments assuming I can't travel. I work at Datatech Services in the IT industry.",Discrimination,Religious discrimination,National Commission for Minorities
I'm not allowed to take prayer breaks due to my religious beliefs. I work at Savannah Agriculture in the insurance industry. I am a person with physical disability. There's a significant pay gap between different groups doing identical work.,Discrimination,Promotion bias,Ministry of Labour and Employment - Industrial Relations Division
I was humiliated in front of clients for a minor mistake. I work at Delta Logistics in the IT industry. I have been working as a call center agent for 4 years. This is happening in our Varanasi branch/office/factory.,Workplace Harassment,Hostile work environment,Ministry of Labour and Employment - Industrial Relations Division
We are forced to work in unnatural positions causing severe back problems. I work at Tropical Beverages in the pharmaceutical industry. This is happening in our Gwalior branch/office/factory.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
"After filing a complaint, I was transferred to a remote location as punishment. I work at Bluestar Chemicals in the real estate industry. I have been working as a accountant for 3 years. This is happening in our Visakhapatnam branch/office/factory. I've documented all incidents with dates, times and details.",Workplace Harassment,Threatening behavior,Local Police Station and Ministry of Labour
My manager constantly criticizes me in front of others affecting my mental health. I work at Moonlight Entertainment in the logistics industry. I have been working as a production manager for 1 years. This is happening in our Jammu branch/office/factory. I am a contractual worker hoping for permanent employment.,Workplace Harassment,Privacy violations,Ministry of Electronics and Information Technology
