Pincode,StateName
515631,ANDHRA PRADESH
515581,ANDHRA PRADESH
515571,ANDHRA PRADESH
515311,ANDHRA PRADESH
515281,ANDHRA PRADESH
515241,ANDHRA PRADESH
534176,ANDHRA PRADESH
813105,BIHAR
813203,BIHAR
853202,BIHAR
813222,BIHAR
812005,BIHAR
853203,BIHAR
812006,BIHAR
853204,BIHAR
813209,BIHAR
530052,ANDHRA PRADESH
515871,ANDHRA PRADESH
515842,ANDHRA PRADESH
515803,ANDHRA PRADESH
515775,ANDHRA PRADESH
515405,ANDHRA PRADESH
515865,ANDHRA PRADESH
515455,ANDHRA PRADESH
515611,ANDHRA PRADESH
515867,ANDHRA PRADESH
515812,ANDHRA PRADESH
515832,ANDHRA PRADESH
515870,ANDHRA PRADESH
531173,ANDHRA PRADESH
531219,ANDHRA PRADESH
853205,BIHAR
813210,BIHAR
813108,BIHAR
813212,BIHAR
515101,ANDHRA PRADESH
503186,TELANGANA
503180,TELANGANA
503187,TELANGANA
503101,TELANGANA
503125,TELANGANA
503112,TELANGANA
344704,RAJASTHAN
344032,RAJASTHAN
342002,RAJASTHAN
344706,RAJASTHAN
503124,TELANGANA
503309,TELANGANA
503108,TELANGANA
503302,TELANGANA
503201,TELANGANA
503306,TELANGANA
503123,TELANGANA
503102,TELANGANA
516129,ANDHRA PRADESH
516237,ANDHRA PRADESH
516130,ANDHRA PRADESH
516151,ANDHRA PRADESH
147111,PUNJAB
788162,ASSAM
788150,ASSAM
788801,ASSAM
788161,ASSAM
788152,ASSAM
788155,ASSAM
208001,UTTAR PRADESH
503310,TELANGANA
503110,TELANGANA
503145,TELANGANA
503120,TELANGANA
503235,TELANGANA
503321,TELANGANA
503185,TELANGANA
503230,TELANGANA
503202,TELANGANA
503246,TELANGANA
503305,TELANGANA
273001,UTTAR PRADESH
505186,TELANGANA
505153,TELANGANA
505162,TELANGANA
505152,TELANGANA
505514,TELANGANA
505187,TELANGANA
505212,TELANGANA
505525,TELANGANA
505209,TELANGANA
505188,TELANGANA
505122,TELANGANA
505498,TELANGANA
524324,ANDHRA PRADESH
501301,TELANGANA
500088,TELANGANA
500100,TELANGANA
501401,TELANGANA
501102,TELANGANA
500101,TELANGANA
